word,zipf,pos,age_band
dead,5.54,JJ,7-9
blood,5.43,NN,7-9
death,5.35,NN,7-9
ok,5.08,JJ,7-9
smoke,5.03,NN,7-9
shoes,4.95,NNS,7-9
shrugged,4.94,VBD,7-9
battle,4.89,NN,7-9
evil,4.82,JJ,7-9
twisted,4.8,VBN,7-9
wine,4.74,NN,7-9
jews,4.73,NNS,10-12
demanded,4.72,VBD,7-9
buried,4.71,VBN,7-9
frozen,4.71,VBN,7-9
folded,4.7,VBN,7-9
tv,4.7,NN,7-9
feelings,4.69,NNS,7-9
rubbed,4.68,VBD,7-9
buildings,4.67,NNS,7-9
including,4.67,VBG,7-9
insisted,4.66,VBD,7-9
meggie,4.66,NN,all
refused,4.65,VBD,7-9
swept,4.65,VBD,7-9
faded,4.64,VBD,7-9
wiped,4.64,VBD,7-9
tucked,4.63,VBD,7-9
caine,4.61,NN,10-12
anne,4.6,NN,7-9
caused,4.6,VBD,7-9
constance,4.6,NN,7-9
america,4.59,NN,7-9
pip,4.59,NN,7-9
shoved,4.59,VBD,7-9
batty,4.58,NN,7-9
drunk,4.58,JJ,7-9
guests,4.58,NNS,7-9
floating,4.57,VBG,7-9
heels,4.57,NNS,7-9
removed,4.57,VBD,7-9
cal,4.56,NN,7-9
drake,4.55,NN,7-9
abandoned,4.54,VBN,7-9
shone,4.54,VBD,7-9
dinah,4.53,NN,7-9
ariadne,4.51,NN,7-9
details,4.51,NNS,7-9
germany,4.51,NN,7-9
goliath,4.51,NN,7-9
la,4.51,DT,all
polly,4.51,JJ,7-9
pounds,4.51,NNS,7-9
annie,4.5,NN,7-9
curse,4.5,NN,7-9
ripped,4.5,VBD,7-9
zeke,4.5,NN,7-9
biggles,4.49,NNS,10-12
froze,4.49,VBD,7-9
mo,4.49,NN,7-9
pa,4.49,NN,7-9
bleeding,4.48,NN,7-9
cordelia,4.48,NNS,10-12
europe,4.47,NN,7-9
indian,4.47,JJ,7-9
invited,4.47,VBN,7-9
naked,4.47,JJ,7-9
pounding,4.47,VBG,7-9
rubbing,4.47,VBG,7-9
baba,4.46,NN,7-9
cigarette,4.46,NN,7-9
kitty,4.46,NN,7-9
tiffany,4.46,NN,10-12
frodo,4.45,NN,7-9
mistress,4.45,NN,7-9
mixed,4.45,VBN,7-9
arranged,4.44,VBN,7-9
backward,4.44,RB,7-9
drifted,4.44,VBD,7-9
intended,4.44,VBN,7-9
nails,4.44,NNS,7-9
ruined,4.44,VBN,7-9
vampire,4.44,NN,7-9
wounded,4.44,VBN,7-9
demon,4.43,NN,7-9
ed,4.43,NN,7-9
twisting,4.43,VBG,7-9
dollars,4.42,NNS,7-9
grade,4.42,NN,7-9
jerked,4.42,VBD,7-9
bastien,4.41,NN,10-12
benedict,4.41,NN,7-9
dartagnan,4.41,NN,7-9
gay,4.41,JJ,7-9
lil,4.41,NN,7-9
minho,4.41,NN,all
bob,4.4,NN,7-9
boyfriend,4.4,NN,7-9
required,4.4,VBN,7-9
workers,4.4,NNS,7-9
assumed,4.39,VBD,7-9
chuckled,4.39,VBD,7-9
drowned,4.39,VBN,7-9
distracted,4.38,VBN,7-9
johnny,4.38,NN,7-9
rifle,4.38,NN,7-9
smoking,4.38,VBG,7-9
suffering,4.38,NN,7-9
supplies,4.38,NNS,7-9
arya,4.37,NN,all
metres,4.37,NNS,7-9
rosalind,4.37,NN,7-9
watson,4.37,NN,7-9
adults,4.36,NNS,7-9
exploded,4.36,VBD,7-9
hopped,4.36,VBD,7-9
nerves,4.36,NNS,7-9
players,4.36,NNS,7-9
produced,4.36,VBD,7-9
aid,4.35,NN,7-9
auntie,4.35,NN,7-9
bumble,4.35,VBP,7-9
cheerful,4.35,JJ,7-9
chinese,4.35,JJ,7-9
collect,4.35,VB,7-9
delicate,4.35,JJ,7-9
fever,4.35,NN,7-9
fifth,4.35,JJ,7-9
francie,4.35,NN,all
habit,4.35,NN,7-9
kestrel,4.35,NN,7-9
maze,4.35,NN,7-9
orc,4.35,NN,10-12
pardon,4.35,NN,7-9
port,4.35,NN,7-9
ruin,4.35,VB,7-9
scientists,4.35,NNS,7-9
senses,4.35,NNS,7-9
shoe,4.35,NN,7-9
shrug,4.35,NN,7-9
sneak,4.35,VB,7-9
steep,4.35,JJ,7-9
straightened,4.35,VBD,7-9
yanked,4.35,VBD,7-9
amongst,4.34,IN,7-9
ankle,4.34,NN,7-9
coal,4.34,NN,7-9
dee,4.34,NN,7-9
detail,4.34,NN,7-9
difficulty,4.34,NN,7-9
display,4.34,NN,7-9
feast,4.34,NN,7-9
freezing,4.34,VBG,7-9
