word,syllables,ncSource,wordType,yearBand
favourite,fa-vour-ite,statutory,adjective,y34
quarter,quar-ter,statutory,noun,y34
thought,thought,statutory,noun,y34
underwater,un-der-wa-ter,nc_example,adjective,y34
underground,un-der-ground,nc_example,adjective,y34
supermarket,su-per-mar-ket,nc_example,noun,y34
superhero,su-per-he-ro,nc_example,noun,y34
superman,su-per-man,nc_example,noun,y34
superstar,su-per-star,nc_example,noun,y34
antiseptic,an-ti-sep-tic,nc_example,noun,y34
anticlockwise,an-ti-clock-wise,nc_example,adjective,y34
autobiography,au-to-bi-og-ra-phy,nc_example,noun,y34
autograph,au-to-graph,nc_example,noun,y34
interchange,in-ter-change,nc_example,noun,y34
international,in-ter-na-tion-al,nc_example,adjective,y34
submarine,sub-ma-rine,nc_example,noun,y34
submerge,sub-merge,nc_example,verb,y34
disappoint,dis-ap-point,nc_example,verb,y34
disagree,dis-a-gree,nc_example,verb,y34
disable,dis-a-ble,nc_example,verb,y34
disconnect,dis-con-nect,nc_example,verb,y34
misbehave,mis-be-have,nc_example,verb,y34
misplace,mis-place,nc_example,verb,y34
rebuild,re-build,nc_example,verb,y34
reconsider,re-con-sid-er,nc_example,verb,y34
reappear,re-ap-pear,nc_example,verb,y34
information,in-for-ma-tion,nc_example,noun,y34
education,ed-u-ca-tion,nc_example,noun,y34
imagination,i-mag-i-na-tion,nc_example,noun,y34
consideration,con-sid-er-a-tion,nc_example,noun,y34
gently,gent-ly,nc_example,adverb,y34
simply,sim-ply,nc_example,adverb,y34
happily,hap-pi-ly,nc_example,adverb,y34
angrily,an-gri-ly,nc_example,adverb,y34
poisonous,poi-son-ous,nc_example,adjective,y34
dangerous,dan-ger-ous,nc_example,adjective,y34
mountainous,moun-tain-ous,nc_example,adjective,y34
humorous,hu-mor-ous,nc_example,adjective,y34
adventure,ad-ven-ture,nc_example,noun,y34
picture,pic-ture,nc_example,noun,y34
nature,na-ture,nc_example,noun,y34
creature,crea-ture,nc_example,noun,y34
mixture,mix-ture,nc_example,noun,y34
moisture,mois-ture,nc_example,noun,y34
pleasure,plea-sure,nc_example,noun,y34
treasure,trea-sure,nc_example,noun,y34
measure,mea-sure,nc_example,verb,y34
enclosure,en-clo-sure,nc_example,noun,y34
addition,ad-di-tion,nc_example,noun,y34
subtraction,sub-trac-tion,nc_example,noun,y34
multiplication,mul-ti-pli-ca-tion,nc_example,noun,y34
division,di-vi-sion,nc_example,noun,y34
expansion,ex-pan-sion,nc_example,noun,y34
permission,per-mis-sion,nc_example,noun,y34
discussion,dis-cus-sion,nc_example,noun,y34
admission,ad-mis-sion,nc_example,noun,y34
musician,mu-si-cian,nc_example,noun,y34
magician,ma-gi-cian,nc_example,noun,y34
electrician,e-lec-tri-cian,nc_example,noun,y34
politician,pol-i-ti-cian,nc_example,noun,y34
approach,double p; -ach ending,practice_list,ap-proach,y34
concentrate,-ate; four syllables,practice_list,con-cen-trate,y34
demonstrate,-ate; four syllables,practice_list,dem-on-strate,y34
enormous,-ous; three syllables,practice_list,e-nor-mous,y34
independent,-ent; five syllables,practice_list,in-de-pen-dent,y34
investigate,-ate; five syllables,practice_list,in-ves-ti-gate,y34
persuasive,-ive; four syllables,practice_list,per-sua-sive,y34
structure,-ture says cher,practice_list,struc-ture,y34
summarise,double m; British -ise,practice_list,sum-mar-ise,y34
dislike,dis-like,nc_example,verb,y34
disloyal,dis-loy-al,nc_example,adjective,y34
dishonest,dis-hon-est,nc_example,adjective,y34
discontinue,dis-con-tin-ue,nc_example,verb,y34
disprove,dis-prove,nc_example,verb,y34
disqualify,dis-qual-i-fy,nc_example,verb,y34
disrespect,dis-re-spect,nc_example,noun,y34
distrust,dis-trust,nc_example,verb,y34
miscount,mis-count,nc_example,verb,y34
misjudge,mis-judge,nc_example,verb,y34
misspell,mis-spell,nc_example,verb,y34
mistake,mis-take,nc_example,noun,y34
misunderstand,mis-un-der-stand,nc_example,verb,y34
rewrite,re-write,nc_example,verb,y34
redo,re-do,nc_example,verb,y34
refill,re-fill,nc_example,verb,y34
rejoin,re-join,nc_example,verb,y34
repaint,re-paint,nc_example,verb,y34
replay,re-play,nc_example,verb,y34
retell,re-tell,nc_example,verb,y34
rethink,re-think,nc_example,verb,y34
subway,sub-way,nc_example,noun,y34
subheading,sub-head-ing,nc_example,noun,y34
subset,sub-set,nc_example,noun,y34
subsection,sub-sec-tion,nc_example,noun,y34
subdivide,sub-di-vide,nc_example,verb,y34
internet,in-ter-net,nc_example,noun,y34
interact,in-ter-act,nc_example,verb,y34
intermission,in-ter-mis-sion,nc_example,noun,y34
superhuman,su-per-hu-man,nc_example,adjective,y34
supersize,su-per-size,nc_example,adjective,y34
antibiotic,an-ti-bi-ot-ic,nc_example,noun,y34
antifreeze,an-ti-freeze,nc_example,noun,y34
antisocial,an-ti-so-cial,nc_example,adjective,y34
automatic,au-to-mat-ic,nc_example,adjective,y34
automobile,au-to-mo-bile,nc_example,noun,y34
autopilot,au-to-pi-lot,nc_example,noun,y34
action,ac-tion,nc_example,noun,y34
attention,at-ten-tion,nc_example,noun,y34
celebration,cel-e-bra-tion,nc_example,noun,y34
collection,col-lec-tion,nc_example,noun,y34
decoration,dec-o-ra-tion,nc_example,noun,y34
description,de-scrip-tion,nc_example,noun,y34
direction,di-rec-tion,nc_example,noun,y34
election,e-lec-tion,nc_example,noun,y34
invention,in-ven-tion,nc_example,noun,y34
invitation,in-vi-ta-tion,nc_example,noun,y34
operation,op-er-a-tion,nc_example,noun,y34
preparation,prep-a-ra-tion,nc_example,noun,y34
protection,pro-tec-tion,nc_example,noun,y34
reflection,re-flec-tion,nc_example,noun,y34
solution,so-lu-tion,nc_example,noun,y34
decision,de-ci-sion,nc_example,noun,y34
expression,ex-pres-sion,nc_example,noun,y34
session,ses-sion,nc_example,noun,y34
confession,con-fes-sion,nc_example,noun,y34
optician,op-ti-cian,nc_example,noun,y34
technician,tech-ni-cian,nc_example,noun,y34
dietician,di-e-ti-cian,nc_example,noun,y34
mathematician,math-e-ma-ti-cian,nc_example,noun,y34
nervous,ner-vous,nc_example,adjective,y34
furious,fu-ri-ous,nc_example,adjective,y34
generous,gen-er-ous,nc_example,adjective,y34
hideous,hid-e-ous,nc_example,adjective,y34
jealous,jeal-ous,nc_example,adjective,y34
nutritious,nu-tri-tious,nc_example,adjective,y34
obvious,ob-vi-ous,nc_example,adjective,y34
ridiculous,ri-dic-u-lous,nc_example,adjective,y34
serious,se-ri-ous,nc_example,adjective,y34
tremendous,tre-men-dous,nc_example,adjective,y34
carefully,care-ful-ly,nc_example,adverb,y34
loudly,loud-ly,nc_example,adverb,y34
quietly,qui-et-ly,nc_example,adverb,y34
slowly,slow-ly,nc_example,adverb,y34
easily,eas-i-ly,nc_example,adverb,y34
noisily,nois-i-ly,nc_example,adverb,y34
creation,cre-a-tion,nc_example,noun,y34
vibration,vi-bra-tion,nc_example,noun,y34
although,al-though,statutory,conjunction,y34
eighth,eighth,statutory,number,y34
forwards,for-wards,statutory,adverb,y34
own,own,practice_list,adjective,y34
side,side,practice_list,noun,y34
anything,an-y-thing,practice_list,pronoun,y34
few,few,practice_list,adjective,y34
against,a-gainst,practice_list,preposition,y34
life,life,practice_list,noun,y34
himself,him-self,practice_list,pronoun,y34
same,same,practice_list,adjective,y34
moment,mo-ment,practice_list,noun,y34
open,o-pen,practice_list,adjective,y34
maybe,may-be,practice_list,adverb,y34
front,front,practice_list,noun,y34
everything,ev-ery-thing,practice_list,pronoun,y34
almost,al-most,practice_list,adverb,y34
light,light,practice_list,noun,y34
someone,some-one,practice_list,pronoun,y34
myself,my-self,practice_list,pronoun,y34
far,far,practice_list,adverb,y34
mean,mean,practice_list,verb,y34
course,course,practice_list,noun,y34
already,al-rea-dy,practice_list,adverb,y34
else,else,practice_list,adverb,y34
name,name,practice_list,noun,y34
yet,yet,practice_list,adverb,y34
also,al-so,practice_list,adverb,y34
since,since,practice_list,preposition,y34
leave,leave,practice_list,verb,y34
body,bod-y,practice_list,noun,y34
close,close,practice_list,adjective,y34
second,sec-ond,practice_list,adjective,y34
arm,arm,practice_list,noun,y34
ground,ground,practice_list,noun,y34
part,part,practice_list,noun,y34
wall,wall,practice_list,noun,y34
outside,out-side,practice_list,adverb,y34
later,la-ter,practice_list,adverb,y34
sorry,sor-ry,practice_list,adjective,y34
idea,i-de-a,practice_list,noun,y34
anyone,an-y-one,practice_list,pronoun,y34
